file,ply,side,san,raw,dcc,stability,adsr,trend,momentum,tunnel,dcc1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,130,b,Rxc5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,131,w,Bxa5,570,583,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,132,b,Rf5+,-570,-556,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,133,w,Ke2,570,554,0,spike,→,-1140,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,134,b,Rh5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,135,w,Rg4,24992,25006,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,136,b,Re5,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,137,w,Rg5,24996,25010,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,138,b,e3,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,139,w,Rxe5+,24998,25037,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,140,b,Kxe5,-24999,-24960,0.5,sustained,→,0,0,1
TCEC_Cup14_SF_vs_Lc0_2024.pgn,1,w,d4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,2,b,g6,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,3,w,c4,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,4,b,Bg7,,,,,,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,5,w,Nc3,12,28,0.6,sustained,→,0,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,6,b,d6,-12,3,0.6,sustained,→,-0.5,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,7,w,e4,12,28,0.6,sustained,→,0.3,0,0
TCEC_Cup14_SF_vs_Lc0_2024.pgn,8,b,Nc6,,,,,,0,0,0
